年份,月份,活跃用户,营收,ARPU,使用率
25年,1月,16045,42587,2.65 ,66%
25年,2月,8600,26133,3.04 ,58%
25年,3月,10212,31493,3.08 ,63%
25年,4月,12645,44180,3.49 ,69%
25年,5月,12206,35675,2.92 ,70%
25年,6月,15968,57202,3.58 ,75%
25年,7月,9361,27109,2.90 ,65%
25年,8月,6602,27531,4.17 ,71%
25年,9月,7168,38427,5.36 ,72%
25年,10月,10266,53032,5.17 ,74%
25年,11月,13056,56636,4.34 ,78%
25年,12月,11401,47666,4.18 ,75%
26年,1月,15893,60672,3.82 ,80%
26年,2月,11579,33747,2.91 ,68%
