年份,月份,活跃用户,营收,ARPU,使用率
25年,1月,13013,13693,1.05 ,65%
25年,2月,7139,11167,1.56 ,52%
25年,3月,8253,12598,1.53 ,59%
25年,4月,10347,16527,1.60 ,66%
25年,5月,9480,14160,1.49 ,67%
25年,6月,13310,19494,1.46 ,73%
25年,7月,8454,17649,2.09 ,65%
25年,8月,5673,8074,1.42 ,66%
25年,9月,5001,12205,2.44 ,67%
25年,10月,7504,21779,2.90 ,72%
25年,11月,10496,18930,1.80 ,76%
25年,12月,8547,16090,1.88 ,71%
26年,1月,13844,23799,1.72 ,78%
26年,2月,9888,14291,1.45 ,68%
