年份,月份,活跃用户,营收,ARPU,使用率
25年,1月,12271,34811,2.84 ,68%
25年,2月,7461,22990,3.08 ,63%
25年,3月,9701,45119,4.65 ,66%
25年,4月,10854,49571,4.57 ,71%
25年,5月,11854,47340,3.99 ,74%
25年,6月,12283,58510,4.76 ,76%
25年,7月,10765,48212,4.48 ,75%
25年,8月,6838,35021,5.12 ,72%
25年,9月,7123,55776,7.83 ,72%
25年,10月,11013,86877,7.89 ,76%
25年,11月,12828,76597,5.97 ,80%
25年,12月,14145,72349,5.11 ,79%
26年,1月,15923,62616,3.93 ,80%
26年,2月,7490,25814,3.45 ,72%
