年份,月份,活跃用户,营收,ARPU,使用率
25年,1月,37740,57714,1.53 ,70%
25年,2月,18363,35936,1.96 ,61%
25年,3月,24598,60819,2.47 ,70%
25年,4月,32810,76191,2.32 ,75%
25年,5月,29640,75289,2.54 ,74%
25年,6月,36114,79701,2.21 ,78%
25年,7月,23635,52051,2.20 ,69%
25年,8月,12106,37448,3.09 ,68%
25年,9月,11323,54082,4.78 ,72%
25年,10月,19323,94265,4.88 ,77%
25年,11月,30816,102916,3.34 ,81%
25年,12月,23617,80057,3.39 ,77%
26年,1月,40070,122643,3.06 ,83%
26年,2月,25089,52506,2.09 ,70%
