年份,月份,活跃用户,营收,ARPU,使用率
25年,1月,13318,26066,1.96,69%
25年,2月,6662,17046,2.56,60%
25年,3月,7998,24665,3.08,65%
25年,4月,10297,25981,2.52,71%
25年,5月,9534,28894,3.03,72%
25年,6月,12693,37144,2.93,78%
25年,7月,7990,24263,3.04,67%
25年,8月,4974,16427,3.3,69%
25年,9月,5349,37392,6.99,70%
25年,10月,8407,52798,6.28,70%
25年,11月,11194,57648,5.15,78%
25年,12月,9121,38320,4.2,75%
26年,1月,13830,53081,3.84,81%
26年,2月,9168,25769,2.81,70%
